Metric,Value,Notes
"Content Creation Cost (Annual)",,"Total annual cost for content creation (salaries, freelancers, tools)"
"Content Promotion Cost (Annual)",,"Total annual cost for content promotion (ad spend, etc.)"
"Total Content Marketing Cost (Annual)",=SUM(B2:B3),"Sum of creation and promotion costs"
"","",""
"Organic Traffic (Annual)",,"Total annual organic traffic to the website"
"Website Conversion Rate (to Lead)",,"Percentage of website visitors who become leads"
"Leads from Content (Annual)",=(B6*B7),"Calculated number of leads from content"
"","",""
"Lead-to-Customer Conversion Rate",,"Percentage of leads who become customers"
"Customers from Content (Annual)",=(B9*B10),"Calculated number of customers from content"
"","",""
"Average Customer Lifetime Value (LTV)",,"Average revenue generated per customer"
"Revenue from Content (Annual)",=(B11*B13),"Calculated revenue from content"
"","",""
"Content Marketing ROI",=(B14-B4)/B4,"Return on Investment"